Co1,Cu1,Fe1,Mn1,Ni1,Co2,Cu2,Fe2,Mn2,Ni2,Co3,Cu3,Fe3,Mn3,Ni3,E_Ads
1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,-0.374720645
1,0,1,0,1,0,0,1,0,2,0,0,1,0,0,-0.372087026
1,0,0,2,0,1,0,1,0,1,0,0,0,1,0,-0.442505117
0,0,2,1,0,0,0,0,1,2,0,0,0,1,0,-0.486566513
0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,-0.368181236
0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,-0.315605893
0,1,0,0,2,1,1,0,0,1,0,0,0,0,1,-0.278278682
1,0,2,0,0,0,1,0,0,2,0,0,1,0,0,-0.36858765
1,0,1,0,1,0,0,1,0,2,0,1,0,0,0,-0.359474064
1,2,0,0,0,1,0,1,0,1,0,1,0,0,0,-0.149616799
0,1,1,0,1,2,0,0,0,1,1,0,0,0,0,-0.17736534
2,0,0,0,1,0,1,1,0,1,1,0,0,0,0,-0.345243493
0,0,1,0,2,1,2,0,0,0,0,0,0,1,0,-0.345987944
1,1,0,0,1,1,0,2,0,0,0,0,0,1,0,-0.231549909
0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,-0.274316625
0,3,0,0,0,1,0,0,2,0,0,1,0,0,0,-0.038954847
1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,-0.268147147
0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,-0.30197425
0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,-0.276462785
1,0,1,0,1,0,3,0,0,0,0,0,1,0,0,-0.411731873
1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,-0.229107775
0,2,1,0,0,1,0,0,1,1,0,1,0,0,0,-0.160289638
0,0,2,1,0,1,1,0,0,1,0,0,0,1,0,-0.427467891
0,1,0,1,1,2,0,1,0,0,0,0,0,0,1,-0.170779636
0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,-0.268026224
1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,-0.29934862
1,0,0,0,2,1,1,1,0,0,1,0,0,0,0,-0.328185874
0,2,0,0,1,2,1,0,0,0,0,1,0,0,0,-0.157889299
0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,-0.219104454
1,1,1,0,0,0,2,1,0,0,0,1,0,0,0,-0.379679959
1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,-0.265081271
0,0,2,0,1,0,2,0,0,1,0,0,1,0,0,-0.356200865
2,1,0,0,0,0,0,2,0,1,0,0,0,1,0,-0.221710965
1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,-0.233250825
0,2,1,0,0,1,0,0,0,2,0,0,0,1,0,-0.090506754
1,0,1,0,1,0,0,0,1,2,0,0,1,0,0,-0.357596485
1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,-0.219517083
0,1,0,2,0,1,0,1,0,1,0,0,0,1,0,-0.160472601
0,0,1,2,0,1,0,0,1,1,0,0,0,1,0,-0.526670976
0,0,1,1,1,0,0,0,1,2,0,0,0,0,1,-0.36696245
0,0,0,1,2,1,1,0,1,0,0,1,0,0,0,-0.347868757
0,1,0,0,2,0,0,1,2,0,0,0,0,0,1,-0.239889719
0,3,0,0,0,2,1,0,0,0,0,0,0,0,1,-0.035401619
1,1,1,0,0,0,2,1,0,0,0,0,1,0,0,-0.242757833
0,2,1,0,0,2,1,0,0,0,0,0,0,1,0,-0.085895918
2,1,0,0,0,1,1,1,0,0,0,0,0,1,0,-0.269971346
1,0,2,0,0,0,3,0,0,0,0,1,0,0,0,-0.492378964
0,2,1,0,0,2,1,0,0,0,0,0,0,0,1,-0.148493274
2,1,0,0,0,1,0,2,0,0,1,0,0,0,0,-0.254283925
1,1,1,0,0,0,2,1,0,0,0,0,0,0,1,-0.30460643
1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,-0.408969434
2,1,0,0,0,0,1,0,1,1,0,1,0,0,0,-0.344245588
0,2,0,0,1,1,0,0,1,1,0,1,0,0,0,-0.118981883
1,1,1,0,0,0,1,0,2,0,0,1,0,0,0,-0.351526401
0,0,1,1,1,2,1,0,0,0,0,0,1,0,0,-0.342404879
1,0,1,1,0,0,2,0,0,1,0,0,0,1,0,-0.433345545
1,1,0,0,1,1,0,0,0,2,0,1,0,0,0,-0.232798895
0,1,0,0,2,0,1,0,1,1,0,1,0,0,0,-0.307394857
1,0,0,0,2,0,1,0,2,0,0,0,0,0,1,-0.349161542
0,1,0,1,1,2,0,0,1,0,0,0,1,0,0,-0.197641484
1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,-0.276558719
0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,-0.228992294
2,0,0,1,0,0,1,0,0,2,0,0,0,1,0,-0.339357249
1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,-0.32019991
0,1,0,2,0,1,1,0,0,1,0,0,0,1,0,-0.19343168
0,0,0,3,0,0,2,1,0,0,1,0,0,0,0,-0.616410525
0,2,1,0,0,1,0,0,0,2,0,1,0,0,0,-0.112870417
1,0,0,0,2,0,0,0,3,0,0,0,1,0,0,-0.344802649
