Co1,Cu1,Fe1,Mn1,Ni1,Co2,Cu2,Fe2,Mn2,Ni2,Co3,Cu3,Fe3,Mn3,Ni3,E_ads
1,0,0,0,0,1,2,0,1,2,1,1,0,1,0,-1.578621318
0,0,0,1,0,2,2,0,1,1,0,0,0,2,1,-1.067544663
0,0,0,1,0,1,2,0,1,2,0,0,1,2,0,-0.949727291
0,0,0,0,1,2,2,0,1,1,1,0,1,0,1,-1.396875098
0,1,0,0,0,1,2,2,1,0,0,0,0,0,3,-0.491827921
0,1,0,0,0,1,2,2,1,0,1,0,0,2,0,-0.580636114
0,1,0,0,0,2,2,1,1,0,2,0,0,0,1,-0.515256805
0,0,1,0,0,2,2,1,1,0,0,0,0,2,1,-1.649045654
1,0,0,0,0,1,2,2,1,0,2,0,0,1,0,-1.633909094
1,0,0,0,0,1,4,1,0,0,2,0,0,0,1,-1.581458524
0,0,1,0,0,1,1,1,0,3,1,0,2,0,0,-1.250484281
0,1,0,0,0,0,1,2,1,2,1,1,1,0,0,-0.525173752
0,0,0,0,1,1,2,1,1,1,0,2,1,0,0,-1.377084242
1,0,0,0,0,0,1,2,1,2,2,1,0,0,0,-1.589053042
0,0,0,0,1,1,2,1,1,1,3,0,0,0,0,-1.336689639
0,0,0,0,1,1,2,1,1,1,0,2,1,0,0,-1.372456155
0,0,0,0,1,0,1,2,1,2,1,0,1,0,1,-1.35241313
0,0,1,0,0,1,2,1,1,1,1,0,1,0,1,-1.371349272
0,0,1,0,0,2,0,2,1,1,1,0,0,2,0,-1.504581604
0,0,1,0,0,1,0,2,1,2,1,1,0,0,1,-1.483168322
1,0,0,0,0,1,0,2,2,1,2,1,0,0,0,-1.689109013
1,0,0,0,0,1,0,2,1,2,1,0,0,2,0,-1.652339532
0,0,0,0,1,1,0,2,2,1,0,1,0,1,1,-1.380939185
0,0,0,0,1,2,0,2,1,1,1,0,0,0,2,-1.343240722
0,0,0,0,1,2,2,1,1,0,1,0,0,1,1,-1.378178357
1,0,0,0,0,1,3,0,0,2,1,1,0,1,0,-1.516884333
