Co1,Cu1,Fe1,Mn1,Ni1,Co2,Cu2,Fe2,Mn2,Ni2,Co3,Cu3,Fe3,Mn3,Ni3,E_Ads
0,2,0,1,0,0,0,1,1,1,1,1,0,0,1,-0.086635346
0,0,1,1,1,0,1,1,0,1,0,2,1,0,0,-0.43137325
0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,-0.314134253
0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,-0.23319108
1,0,0,0,2,1,0,0,1,1,1,1,1,0,0,-0.327293424
1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,-0.37376248
0,1,1,1,0,1,0,0,0,2,1,0,2,0,0,-0.278367513
0,0,0,2,1,2,1,0,0,0,1,1,1,0,0,-0.343521824
0,0,1,0,2,0,0,0,2,1,0,1,1,0,1,-0.384971155
0,1,0,0,2,1,0,0,1,1,2,1,0,0,0,-0.272277955
1,0,1,1,0,0,1,0,0,2,0,0,2,0,1,-0.421080404
1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,-0.364169873
2,1,0,0,0,0,0,1,0,2,2,0,1,0,0,-0.190981541
0,2,0,0,1,0,0,0,1,2,0,1,1,1,0,-0.15045736
0,1,1,0,1,0,1,0,2,0,1,1,1,0,0,-0.28197073
0,0,0,1,2,0,0,2,1,0,1,1,0,1,0,-0.308265774
0,0,2,1,0,0,2,0,0,1,1,0,1,1,0,-0.39787232
0,1,1,0,1,0,1,0,1,1,0,2,0,1,0,-0.309322005
0,0,1,0,2,0,1,1,0,1,1,1,1,0,0,-0.3424301
0,1,0,1,1,0,0,1,1,1,0,0,2,1,0,-0.185498971
0,1,0,2,0,0,0,1,0,2,0,0,0,3,0,-0.22503999
0,0,1,1,1,0,1,1,0,1,2,0,0,1,0,-0.341954648
0,1,2,0,0,0,1,0,2,0,1,1,1,0,0,-0.281874454
0,0,1,2,0,0,2,0,1,0,1,1,0,1,0,-0.564929708
0,2,0,1,0,0,0,1,1,1,0,2,0,0,1,0.000191208
0,1,0,2,0,0,0,0,2,1,0,2,1,0,0,-0.206316597
0,0,1,1,1,0,0,1,2,0,0,0,2,0,1,-0.380982127
0,0,1,2,0,0,1,1,1,0,0,1,1,1,0,-0.520550125
0,1,1,1,0,0,1,0,1,1,0,2,0,0,1,-0.239288438
0,0,0,2,1,0,1,2,0,0,0,0,0,1,2,-0.391709108
0,1,1,1,0,2,1,0,0,0,0,0,0,1,2,-0.334962768
0,2,1,0,0,0,1,1,1,0,0,0,0,2,1,-0.069617204
1,0,2,0,0,0,2,0,1,0,1,0,0,2,0,-0.424328268
0,2,0,1,0,1,2,0,0,0,1,0,0,1,1,-0.124271915
0,2,1,0,0,1,1,0,1,0,1,0,0,0,2,-0.132700694
2,1,0,0,0,0,2,1,0,0,3,0,0,0,0,-0.298343833
1,1,0,1,0,1,1,1,0,0,1,0,0,2,0,-0.258173657
1,2,0,0,0,1,0,2,0,0,1,0,0,0,2,-0.149380377
1,1,1,0,0,0,2,1,0,0,1,0,0,1,1,-0.319544704
0,0,1,0,2,0,0,0,2,1,1,0,0,0,2,-0.344102633
1,0,0,0,2,0,0,0,2,1,3,0,0,0,0,-0.337389436
1,0,1,1,0,0,0,0,1,2,1,0,1,0,1,-0.398299651
1,0,0,2,0,0,0,1,0,2,1,0,1,0,1,-0.443602875
0,0,0,1,2,0,0,0,2,1,1,0,1,0,1,-0.353124092
0,0,0,2,1,1,0,0,2,0,1,1,1,0,0,-0.41807641
0,0,0,2,1,1,0,1,1,0,1,1,0,0,1,-0.404292754
0,0,1,2,0,1,0,0,0,2,0,0,2,0,1,-0.485012979
0,0,0,2,1,0,0,1,2,0,0,1,0,0,2,-0.431244566
1,0,0,1,1,0,0,2,0,1,0,1,0,0,2,-0.41282583
0,1,0,1,1,2,0,1,0,0,1,0,0,0,2,-0.233840997
0,0,2,0,1,0,1,0,1,1,0,2,0,1,0,-0.39077228
2,0,1,0,0,0,0,2,0,1,1,1,0,0,1,-0.359090864
0,0,2,0,1,1,1,1,0,0,1,0,0,1,1,-0.329674081
0,1,1,0,1,1,0,1,0,1,0,1,0,0,2,-0.269014772
1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,-0.396816912
1,0,1,1,0,0,1,1,0,1,2,1,0,0,0,-0.440217913
1,1,1,0,0,1,0,0,1,1,1,2,0,0,0,-0.289369907
0,0,1,2,0,0,0,1,1,1,3,0,0,0,0,-0.459365522
0,0,1,0,2,0,0,1,2,0,1,1,0,0,1,-0.391212593
0,0,1,2,0,0,0,1,1,1,1,1,0,0,1,-0.455537329
0,0,1,1,1,0,1,0,1,1,0,2,1,0,0,-0.422777309
0,1,0,1,1,0,0,1,2,0,1,0,1,0,1,-0.176895942
0,1,0,2,0,0,0,1,0,2,1,0,1,0,1,-0.234886661
0,0,1,2,0,0,1,0,2,0,1,1,0,0,1,-0.467240093
0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,-0.429751922
0,1,0,1,1,0,0,1,2,0,0,0,0,0,3,-0.214785663
